Bacia do Prata;Área estratégica de expansão portuguesa ao sul
Colônia do Santíssimo Sacramento;Fundação portuguesa no Prata em 1680
Controle a Montante;Domínio sobre recursos hídricos
Controle a Jusante;Domínio da navegação fluvial
Tratado de Madri (1750);Reconhecimento da ultrapassagem de Tordesilhas
Linha de Tordesilhas;Divisão original entre Portugal e Espanha
Raffestin;Autor da ideia de que fronteiras exigem ocupação real
Mapa das Cortes;Mapa com deformações favoráveis a Portugal
Tratado de El Pardo;Tratado luso-espanhol de 1761
Tratado de Santo Ildefonso;Tratado territorial de 1777
Tratado de Badajoz;Tratado territorial de 1801
Porto dos Casais;Origem da atual Porto Alegre
Colonização Dirigida;Ocupação planejada pelo Estado
Colonização Açoriana;Presença portuguesa no Sul do Brasil
Estâncias Pecuaristas;Grandes propriedades voltadas à pecuária
Colonização Alemã;Processo iniciado em 1824 no Sul
São Leopoldo;Primeira colônia alemã importante
Colonização Italiana;Processo iniciado em 1870 na Serra Gaúcha
Serra Gaúcha;Área ocupada por imigrantes italianos
Bento Gonçalves;Cidade da colonização italiana
Garibaldi;Cidade da colonização italiana
Caxias do Sul;Principal centro ítalo-gaúcho
Companhias de Colonização;Empresas responsáveis pela ocupação imigrante
Bacia Amazônica;Área estratégica de ocupação portuguesa ao norte
Forte do Presépio;Origem de Belém em 1616
Belém;Cidade estratégica na foz amazônica
São José da Barra do Rio Negro;Origem de Manaus
Drogas do Sertão;Produtos extrativos amazônicos coloniais
Missões Jesuíticas;Primeira forma de ocupação amazônica
Período Pombalino;Fase de secularização da ocupação amazônica
Diretório dos Índios;Política pombalina para integrar indígenas
Tabatinga;Fortaleza criada em 1766 na Amazônia
Toponímia Portuguesa;Uso de nomes portugueses na Amazônia
Nova Mazagão;Vila criada para ocupar área disputada
Cabo Norte;Região estratégica próxima à Guiana Francesa
Cavalhadas de São Tiago;Tradição cultural de Mazagão
Primeiro Ciclo da Borracha;Expansão econômica amazônica entre 1870-1910
Belle Époque Amazônica;Período de prosperidade da borracha
Teatro Amazonas;Símbolo da riqueza de Manaus
Teatro da Paz;Símbolo da riqueza de Belém
Segundo Ciclo da Borracha;Produção amazônica durante a Segunda Guerra
SEMTA;Serviço de mobilização para a Amazônia
Soldados da Borracha;Nordestinos enviados à Amazônia
Grandes Projetos da Ditadura;Integração amazônica a partir dos anos 1970
Arquipélago Brasileiro;Fragmentação territorial e econômica do país
Planejamento Territorial;Estratégia estatal de integração nacional
Bertha Becker;Autora da ideia de “floresta urbanizada”
Floresta Urbanizada;Amazônia com maioria da população urbana
Lei Geográfica de 1938;Base legal do planejamento territorial
IBGE;Instituto responsável por estatística e regionalização
SPVEA;Superintendência voltada à Amazônia
Regionalização Oficial;Divisão territorial criada pelo Estado
Giorgio Mortara;Modernizador da estatística brasileira
Marcha para o Oeste;Política varguista de interiorização
Mario Travassos;Geopolítico da Era Vargas
Projeção Continental do Brasil;Obra geopolítica de Travassos
Altiplano Boliviano;Área estratégica entre Amazonas e Prata
Goiânia;Cidade planejada da interiorização
Colônias Agrícolas Nacionais;Projetos agrícolas de ocupação territorial
Ceres;Colônia agrícola em Goiás
Dourados;Colônia agrícola em Mato Grosso do Sul
Expedição Roncador-Xingu;Expedição de ocupação do Centro-Oeste
Fundação Brasil Central;Órgão de interiorização territorial
Territórios Federais;Áreas controladas diretamente pela União
Amazônia Legal;Recorte regional criado para planejamento
Rodoviarismo;Estratégia de integração por rodovias
Brasília;Símbolo da integração e modernização nacional
Superação do Arquipélago;Integração territorial promovida por JK
Grande Bandeirante do Século XX;Imagem atribuída a JK
Doutrina de Segurança Nacional;Estratégia geopolítica do regime militar
Golbery do Couto e Silva;Principal geopolítico do período militar
Aspectos da Geopolítica do Brasil;Obra de Golbery publicada em 1957
Áreas Ecumênicas;Regiões densamente ocupadas
Áreas Anecúmenas;Vazios demográficos estratégicos
“Integrar para não entregar”;Slogan geopolítico da ditadura
Programa de Integração Nacional (PIN);Projeto rodoviário amazônico
Transamazônica;Rodovia estratégica da Amazônia
Transpantaneira;Rodovia de integração no Centro-Oeste
Estrada–Terra Firme–Solo;Novo padrão de ocupação amazônica
“Homens sem terra para terras sem homens”;Slogan da colonização dirigida
Colonização Dirigida Militar;Política de ocupação da Amazônia
Alienação de Terras Públicas;Transferência de terras para grandes propriedades
I PND;Plano de desenvolvimento do governo Médici
II PND;Plano de desenvolvimento do governo Geisel
POLOCENTRO;Programa de modernização do Cerrado
CODEVASF;Companhia de desenvolvimento do Vale do São Francisco
Vale do São Francisco;Área de irrigação planejada
III PND;Plano fracassado do governo Figueiredo
Década Perdida;Crise econômica e retração do planejamento nos anos 1980
PDNR;Plano territorial do governo Sarney
;
Arquipélago econômico;Baixa integração territorial e econômica do Brasil até 1930
Celso Furtado;Autor da ideia do “arquipélago econômico” brasileiro
Economia extrovertida;Produção voltada ao mercado externo
Complexos rurais fechados;Estruturas produtivas autossuficientes e pouco integradas
Centro cafeeiro;Principal ilha econômica ligada ao café
Amazônia da borracha;Região ligada ao ciclo da borracha
Industrialização pré-1930;Desarticulada, privada e concentrada no Sudeste
Nacional-desenvolvimentismo;Modelo estatal de industrialização entre 1930-1980
Era Vargas;Início da industrialização planejada pelo Estado
CSN;Companhia Siderúrgica Nacional criada em 1942
CVRD;Companhia Vale do Rio Doce criada em 1942
Trabalhismo varguista;Regulação estatal das relações de trabalho
Plano de Metas;Programa industrializante de JK
Tripé de JK;Capital estatal, privado nacional e estrangeiro
Brasília;Símbolo da integração e modernização nacional
Fordismo periférico;Industrialização concentrada no Sudeste
Economias de aglomeração;Vantagens da concentração industrial
RMSP;Região Metropolitana de São Paulo
Desconcentração relativa;Perda parcial da concentração industrial paulista
Desconcentração concentrada;Conceito de Milton Santos sobre dispersão limitada
Clélio Campolina;Autor da ideia do desenvolvimento poligonal
Desenvolvimento poligonal;Área dinâmica entre MG e Sul do Brasil
Deseconomias de aglomeração;Custos elevados nas grandes metrópoles
SUDENE;Superintendência voltada ao desenvolvimento do Nordeste
SUFRAMA;Órgão responsável pela Zona Franca de Manaus
Polo Industrial de Manaus;Área industrial incentivada na Amazônia
Projeto Grande Carajás;Expansão mineral no Norte
Inserção passiva;Abertura econômica com menor ação estatal
Guerra fiscal;Disputa entre estados por investimentos
Guerra dos lugares;Nome dado por Milton Santos à guerra fiscal
Desindustrialização;Queda da participação industrial no PIB
Terciarização;Crescimento do setor de serviços
Nova Indústria Brasil;Plano industrial lançado em 2023
Milton Santos;Autor da ideia de território usado
Território usado;Relação sociedade-natureza mediada pela técnica
Meio natural;Predomínio de técnicas rudimentares
Meio técnico;Fase de mecanização e integração nacional
MTCI;Meio técnico-científico-informacional
Embrapa;Instituição-chave da modernização agrícola
Fachada litorânea;Principal eixo histórico de ocupação do Brasil
Cana-de-açúcar;Primeira base econômica não extrativista
Massapê;Solo fértil da Zona da Mata
Hinterlândia pecuarista;Interior articulado ao açúcar nordestino
Mineração;Ciclo que deslocou a centralidade para o Sudeste
Cafeicultura;Atividade que consolidou o Sudeste
Terra roxa;Solo fértil do Oeste Paulista
Colônia do Sacramento;Marco da expansão portuguesa na Bacia do Prata
Tratado de Madri;Reconheceu a expansão além de Tordesilhas
Porto dos Casais;Origem de Porto Alegre
Colonização açoriana;Estratégia de ocupação do Sul
São Leopoldo;Núcleo inicial da imigração alemã
Serra Gaúcha;Área ocupada por imigrantes italianos
Forte do Presépio;Origem de Belém
Drogas do sertão;Produtos explorados na Amazônia colonial
Diretório dos Índios;Política pombalina para indígenas
Nova Mazagão;Vila criada para reforçar presença portuguesa
Ciclo da borracha;Boom econômico amazônico
Belle Époque Amazônica;Fase de riqueza em Manaus e Belém
Soldados da Borracha;Nordestinos enviados à Amazônia na Segunda Guerra
Marcha para o Oeste;Política varguista de interiorização
IBGE;Órgão de estatística e regionalização criado em 1938
SPVEA;Superintendência voltada à Amazônia
Amazônia Legal;Recorte regional criado para planejamento
Mario Travassos;Geopolítico da Era Vargas
Altiplano boliviano;Área estratégica entre bacias sul-americanas
Goiânia;Cidade planejada da interiorização
Fundação Brasil Central;Responsável pela Expedição Roncador-Xingu
Doutrina de Segurança Nacional;Visão geopolítica do período militar
Golbery do Couto e Silva;Principal formulador da DSN
Áreas ecumênicas;Regiões densamente ocupadas
Áreas anecúmenas;Vazios territoriais estratégicos
“Integrar para não entregar”;Slogan da ocupação amazônica
PIN;Programa de Integração Nacional
Transamazônica;Rodovia de integração da Amazônia
POLOCENTRO;Programa de modernização dos Cerrados
CODEVASF;Companhia de desenvolvimento do Vale do São Francisco
Constituição de 1988;Reorganizou o planejamento federativo
PPA;Plano Plurianual
ENIDs;Eixos Nacionais de Integração e Desenvolvimento
Brasil em Ação;Primeiro PPA de FHC
Avança Brasil;PPA voltado à competitividade global
IIRSA;Integração da infraestrutura sul-americana
PAC;Plano de Aceleração do Crescimento
PAC híbrido;Mistura desenvolvimentismo e PPPs
Novo PAC;Plano de infraestrutura do governo Lula 3
Sociobiodiversidade;Uso sustentável da biodiversidade amazônica
Regionalização oficial;Divisão administrativa do IBGE
Pedro Geiger;Autor das regiões geoeconômicas
Complexos regionais;Divisão baseada na dinâmica econômica
Centro-Sul;Região mais industrializada do Brasil
Amazônia geoeconômica;Região extrativista e de baixa densidade
Zona Franca de Manaus;Polo industrial incentivado na Amazônia
;
;
entro-Sul geoeconômico;Região mais dinâmica e industrializada do Brasil
Triângulo industrial brasileiro;São Paulo, Rio de Janeiro e Belo Horizonte
70% da população brasileira;Parcela concentrada no Centro-Sul
Polo automotivo;Destaque industrial do Centro-Sul
Polo siderúrgico;Base industrial pesada do Centro-Sul
Polo petroquímico;Setor industrial relevante do Centro-Sul
Agricultura de exportação;Produção de café, soja e cana
Polo financeiro nacional;Predomínio dos serviços no Centro-Sul
Congestionamento urbano;Problema típico da concentração metropolitana
Nordeste geoeconômico;Região historicamente ligada ao açúcar
Berço da colonização portuguesa;Característica histórica do Nordeste
Faixa litorânea nordestina;Área mais povoada da região
Sertão nordestino;Área de baixa densidade demográfica
Secas recorrentes;Problema climático do interior nordestino
Cana-de-açúcar no Nordeste;Atividade tradicional regional
Turismo nordestino;Atividade econômica importante do litoral
Energia eólica no Nordeste;Setor em expansão regional
Mortalidade infantil;Indicador social problemático do Nordeste
Segunda regionalização oficial;Divisão do IBGE de 1969
Dinâmica centro-periferia;Lógica territorial da regionalização de 1969
Sudeste como centro;Região mais dinâmica da economia nacional
Sul e Centro-Oeste integrados;Periferias articuladas ao Sudeste
Nordeste deprimido;Região menos integrada às cadeias dinâmicas
Norte como fronteira;Área de expansão territorial e econômica
Roberto Lobato Corrêa;Autor da regionalização dos Três Brasis
Três Brasis;Divisão em Centro-Sul, Nordeste e Amazônia
Amazônia como fronteira do capital;Visão de Roberto Lobato Corrêa
Tocantins;Estado incorporado ao Norte em 1990
Quatro Brasis;Regionalização de Milton Santos
Região Concentrada;Sul e Sudeste integrados pelo MTCI
MTCI;Meio técnico-científico-informacional
Região Concentrada;Área de maior comando econômico e tecnológico
Centro-Oeste periférico;Expansão moderna subordinada ao Centro-Sul
Rugosidades;Formas herdadas de técnicas antigas
MATOPIBA;Área moderna de agricultura no Nordeste
Tecnopolo de Campina Grande;Polo tecnológico nordestino
Recife tecnológico;Polo de TI do Nordeste
Amazônia como fronteira;Região marcada por enclaves modernos
Polo Mineral de Carajás;Enclave moderno amazônico
Zona Franca de Manaus;Enclave industrial da Amazônia
Fluxos lentos e rápidos;Contraste territorial amazônico
Faixa de fronteira;Área de 150 km paralela às fronteiras
Lei da Faixa de Fronteira;Norma de 1979 sobre área estratégica
588 municípios;Quantidade de municípios na faixa de fronteira
Arco Norte;Faixa menos urbanizada e mais extensa
BR-174;Ligação Brasil–Venezuela
Carretera Interoceânica;Ligação Brasil–Peru
Arco Central;Região marcada por violência e integração
Corredor Bioceânico;Projeto logístico do Arco Central
Porto Murtinho;Cidade ligada ao corredor bioceânico
Arco Sul;Região mais urbanizada da fronteira
Foz do Iguaçu;Principal centralidade do Arco Sul
Programa Calha Norte;Política de defesa da Amazônia
SISFRON;Sistema de monitoramento de fronteiras
Pelotões Especiais de Fronteira;Estruturas militares na fronteira
Rota do Solimões;Rota do tráfico no Arco Norte
Rota Caipira;Rota do tráfico no Arco Central
Tríplice Fronteira;Área sensível do Arco Sul
Cidades-gêmeas;Núcleos urbanos integrados pela fronteira
Sinapses fronteiriças;Integração intensa entre cidades-gêmeas
Ciudad del Este;Cidade-gêmea ligada a Foz do Iguaçu
Pedro Juan Caballero;Cidade-gêmea de Ponta Porã
Tabatinga-Letícia;Arranjo fronteiriço Brasil-Colômbia
Rede urbana rareada;Característica dos arcos Norte e Central
Arranjos populacionais fronteiriços;Integração social e econômica transfronteiriça
;
;
Matriz energética mundial;Predomínio de petróleo, carvão e gás natural
Carvão no mundo;China é a maior consumidora
Matriz energética brasileira;Predomínio de fontes renováveis
Renováveis no Brasil;Cerca de 50% da matriz energética
Matriz elétrica brasileira;Cerca de 88% renovável
Principal fonte elétrica do Brasil;Hidrelétrica
Tendência recente da matriz brasileira;Crescimento de eólica e solar
Intensidade de carbono do Brasil;Menor que países industrializados
Dinâmica até 2009;Expansão dos biocombustíveis
Crise energética 2009-2014;Crise hídrica e crise do etanol
Recuperação pós-2015;Crescimento da energia solar e eólica
Dependência externa brasileira;Compra energia de Paraguai e Venezuela
Principal fonte não renovável do Brasil;Petróleo
Participação do petróleo;Cerca de 34%
Autossuficiência em petróleo;Alcançada em 2020
Rodoviarismo brasileiro;Aumenta consumo de petróleo
Gás natural no Brasil;Fonte complementar de energia
GASBOL;Gasoduto Bolívia-Brasil
Gás de xisto;Extraído por fraturamento hidráulico
Fracking;Técnica com risco ambiental
Aquífero Guarani;Área sensível ao gás de xisto
Carvão mineral no Brasil;Uso na siderurgia e geração elétrica
Reservas brasileiras de carvão;Pequenas e de baixa qualidade
Dependência brasileira de carvão;Forte importação externa
Urânio no Brasil;Grandes reservas potenciais
Energia nuclear mundial;Apenas cerca de 4% da matriz
Biomassa da cana;Principal renovável brasileira
Etanol;Combustível derivado da cana
Pró-Álcool;Programa de biocombustíveis criado em 1975
Fiat 147;Primeiro carro a álcool
Crise do álcool nos anos 1990;Desabastecimento e perda de confiança
Carro flex;Retomou expansão do etanol
RenovaBio;Política de descarbonização
Hidrelétrica;Base da matriz elétrica brasileira
Eletrobrás;Planejamento elétrico nacional
Itaipu;Grande marco da energia hidráulica
Amazônia e hidrelétricas;Grande potencial energético
Balbina;Exemplo de usina com grande impacto ambiental
Usina a fio d’água;Menor reservatório e menor impacto
Belo Monte;Grande hidrelétrica amazônica
Problemas das hidrelétricas amazônicas;Impactos sociais e ambientais
Lenha e carvão vegetal;Fontes tradicionais brasileiras
Uso da lenha;Residencial e siderurgia
Tendência da lenha;Queda estrutural
Licor preto;Subproduto energético da celulose
Energia eólica;Segunda maior fonte elétrica brasileira
Potencial eólico brasileiro;Forte no Nordeste
Maiores produtores eólicos;RN, BA, CE e RS
Energia eólica no Brasil;Mais barata que hidrelétrica
Problemas da energia eólica;Impactos visuais e na fauna
Energia solar;Crescimento acelerado recente
China e renováveis;Maior gerador solar e eólico do mundo
Diversificação energética;Reduz vulnerabilidade do sistema
Complementaridade energética;Eólica e solar poupam reservatórios
Acordo de Paris;Meta de ampliar renováveis
Energia hidráulica no Brasil;Cerca de 55% da geração elétrica
Solar em 2024;Superou biomassa
Cana-de-açúcar;Superou hidrelétrica em 2007
Biocombustíveis;Estratégia para reduzir petróleo
Sistema elétrico nacional;Interligação de geração e transmissão
Planejamento energético;Expansão com participação estatal
Crise hídrica;Reduz geração hidrelétrica
Termelétricas;Complementam o sistema elétrico
Gás natural na eletricidade;Cresce em períodos de seca
Sustentabilidade energética;Maior uso de renováveis
Segurança energética;Diversificação de fontes
Emissões brasileiras;Menores devido às renováveis
Energia limpa;Forte vantagem comparativa do Brasil
;
;
;
mércios e fazendas;
Capacidade distribuída superou centralizada;2022
Percentual da geração distribuída;Cerca de 70%
Marco Legal da Geração Distribuída;Taxa sobre excedente injetado na rede
Corrida por instalação solar ocorreu;Antes de 2022
Vantagem da energia solar;Fonte limpa e renovável
Outra vantagem da energia solar;Atende áreas remotas
Desvantagem da energia solar;Intermitência
Outro problema da energia solar;Descarte de painéis
Conflito ligado às usinas solares;Uso do território
Licor preto;Resíduo da indústria de celulose
Função do licor preto;Autogeração de energia
Participação do licor preto;Cerca de 10% das renováveis
Biodiesel no Brasil;Estruturado no Governo Lula I
Pilar do biodiesel;Política de mistura
Outro pilar do biodiesel;Programa Biodiesel Social
Matéria-prima principal do biodiesel;Óleo de soja
Outra matéria-prima do biodiesel;Gordura bovina
Problema do biodiesel de soja;Alto custo
Mistura obrigatória no diesel;Cerca de 15%
Maior consumidor energético do Brasil;Transportes
Principal combustível dos transportes;Diesel
Programa RenovaBio;Redução de emissões e estímulo aos biocombustíveis
Objetivo do RenovaBio;Estabilizar mercado de etanol
Outro objetivo do RenovaBio;Expandir biodiesel
Posição do Brasil no biodiesel mundial;2º maior produtor
Hidrogênio verde;Produzido com renováveis
Hidrogênio cinza;Derivado do carvão mineral
Hidrogênio azul;Produzido com gás natural
Hidrogênio rosa;Produzido com energia nuclear
Hidrogênio amarelo;Produzido com fontes mistas
Programa brasileiro do hidrogênio;PNH2
Objetivo do PNH2;Hidrogênio de baixa emissão
Fluxos superam fixos;Circulação domina a produção
Rede de transportes;Infraestrutura de circulação
Exemplo internacional de integração ferroviária;China
País com mais trens de alta velocidade;China
Objetivo da expansão ferroviária chinesa;Integração econômica
Iniciativa global chinesa;Nova Rota da Seda (BRI)
Brasil até 1930;Baixa integração territorial
Primeira ferrovia brasileira;Ferrovia Mauá
Ano da Ferrovia Mauá;1854
Função das primeiras ferrovias;Escoar café
Padrão ferroviário inicial;Extrovertido
Modal importante antes de 1930;Cabotagem
Primeiro plano viário nacional;Plano Geral de Viação Nacional (1934)
Influência geopolítica do plano de 1934;Mário Travassos
Criação do DNER;1937
Primeira ligação terrestre Sudeste-Nordeste;Rodovia Rio-Bahia
Consolidação do rodoviarismo;Plano Rodoviário Nacional (1944)
Governo de forte expansão rodoviária;JK
Criação da RFFSA;1957
Função da RFFSA;Estatizar ferrovias
Motivo da opção rodoviária;Menor custo e rapidez
Rodovias radiais;Ligam Brasília ao país
BR-101;Rodovia longitudinal
BR-230;Rodovia transversal
BR-364;Rodovia diagonal
Rodovias no regime militar;Base da integração territorial
Rodovias e Amazônia;Eixos de ocupação e desmatamento
Crise dos anos 1980;Ruptura do planejamento estatal
Consequência da crise;Déficit de infraestrutura
Anos 1990 nos transportes;Privatizações e concessões
Problema atual dos transportes;Custo Brasil
Principal modal de cargas do Brasil;Rodoviário
Problema do rodoviarismo;Alto custo para commodities
Produto muito dependente de rodovias;Soja
Rodovias são melhores para;Cargas leves e valiosas
;
;
;
PNLT;Plano Nacional de Logística e Transportes
Ano do PNLT;2007
Objetivo do PNLT;Reduzir peso rodoviário
PNLT foi integrado ao;PAC
Meta do PNLT;Equilibrar modais até 2025
Ferrovia estruturante do PNLT;Norte-Sul
Outra ferrovia do PNLT;Ferronorte
Outra ferrovia do PNLT;FIOL
Outra ferrovia do PNLT;Nova Transnordestina
Principal problema do PNLT;Baixa execução do PAC
PNL;Plano Nacional de Logística
Ano do PNL;2015
Diagnóstico do PNL;Excesso de rodovias
Modal dominante no Brasil;Rodoviário
Principal carga rodoviária;Granéis agrícolas
Principal carga ferroviária;Minério de ferro
Percentual do minério nas ferrovias;Cerca de 80%
Principal carga hidroviária;Minérios e grãos
Principal carga da cabotagem;Petróleo e combustíveis
Marco ferroviário de 2021;Permissão para ferrovias privadas
Objetivo do marco ferroviário;Atrair investimentos
PAC I priorizou;Rodovias
Razão da prioridade rodoviária;Resultado rápido
Expansão agropecuária aumentou;Dependência rodoviária
Região dependente de rodovias;MATOPIBA
Principal eixo ferroviário longitudinal;Ferrovia Norte-Sul
Ligação da Norte-Sul;Itaqui–Santos
Início da Ferrovia Norte-Sul;Década de 1980
Inauguração da Norte-Sul;2023
Ferronorte conecta;SP–MT
Trecho concluído da Ferronorte;Santa Fé do Sul–Rondonópolis
Objetivo da Ferrogrão;Alternativa à BR-163
